Jul 30 17:35:58.974365 np0000032037 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Jul 30 17:35:58.982456 np0000032037 memory_tracker.sh[44158]: [[[
Jul 30 17:35:58.983242 np0000032037 memory_tracker.sh[44172]: Wed Jul 30 17:35:58 UTC 2025
Jul 30 17:35:58.983326 np0000032037 memory_tracker.sh[44158]: ---
Jul 30 17:35:58.983326 np0000032037 memory_tracker.sh[44158]: memory_tracker low_point: 10821420
Jul 30 17:35:58.983326 np0000032037 memory_tracker.sh[44158]: ---
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: MemTotal:       12245960 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: MemFree:          475640 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: MemAvailable:   10821420 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Buffers:          267868 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Cached:          9709064 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: SwapCached:            4 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Active:           951648 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Inactive:        9640404 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Active(anon):     667228 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Inactive(anon):      260 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Active(file):     284420 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Inactive(file):  9640144 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Unevictable:      143576 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Mlocked:          142376 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: SwapTotal:       8388604 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: SwapFree:        8388080 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Zswap:                12 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Zswapped:              4 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Dirty:             83068 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Writeback:             0 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: AnonPages:        758808 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Mapped:           159920 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Shmem:             32504 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: KReclaimable:     746892 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Slab:             886088 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: SReclaimable:     746892 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: SUnreclaim:       139196 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: KernelStack:        7796 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: PageTables:         9156 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: SecPageTables:         0 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: NFS_Unstable:          0 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Bounce:                0 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: WritebackTmp:          0 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: CommitLimit:    14511584 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Committed_AS:    2217208 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: VmallocTotal:   13743895347199 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: VmallocUsed:       26988 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: VmallocChunk:          0 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Percpu:             4960 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: HardwareCorrupted:     0 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: AnonHugePages:         0 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: ShmemHugePages:        0 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: ShmemPmdMapped:        0 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: FileHugePages:         0 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: FilePmdMapped:         0 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Unaccepted:            0 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: HugePages_Total:       0
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: HugePages_Free:        0
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: HugePages_Rsvd:        0
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: HugePages_Surp:        0
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Hugepagesize:       2048 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: Hugetlb:               0 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: DirectMap4k:      284524 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: DirectMap2M:    12298240 kB
Jul 30 17:35:58.983694 np0000032037 memory_tracker.sh[44174]: DirectMap1G:     2097152 kB
Jul 30 17:35:58.984524 np0000032037 memory_tracker.sh[44158]: ---
Jul 30 17:35:58.993915 np0000032037 memory_tracker.sh[44176]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Jul 30 17:44:59.703739 np0000032037 memory_tracker.sh[92964]:      90808    0.9          121300          1   00:00:02        1 ep_poll                   /opt/stack/data/venv/bin/python3.12 /opt/stack/data/venv/bin/manila-scheduler --config-file /etc/manila/manila.conf
Jul 30 17:44:59.703739 np0000032037 memory_tracker.sh[92964]:      77348    0.9          119944      76263   00:00:00        1 ep_poll                   /opt/stack/data/venv/bin/python3.12 /opt/stack/data/venv/bin/nova-scheduler --config-file /etc/nova/nova.conf
Jul 30 17:44:59.703739 np0000032037 memory_tracker.sh[92964]:      79526    0.9          119756      78244   00:00:00        1 ep_poll                   /opt/stack/data/venv/bin/python3.12 /opt/stack/data/venv/bin/nova-conductor --config-file /etc/nova/nova.conf
Jul 30 17:44:59.703739 np0000032037 memory_tracker.sh[92964]:      79879    0.9          119740      78761   00:00:00        1 ep_poll                   /opt/stack/data/venv/bin/python3.12 /opt/stack/data/venv/bin/nova-conductor --config-file /etc/nova/nova_cell1.conf
Jul 30 17:44:59.703739 np0000032037 memory_tracker.sh[92964]:      79880    0.9          119612      78761   00:00:00        1 ep_poll                   /opt/stack/data/venv/bin/python3.12 /opt/stack/data/venv/bin/nova-conductor --config-file /etc/nova/nova_cell1.conf
Jul 30 17:44:59.703739 np0000032037 memory_tracker.sh[92964]:      69625    0.9          117868          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Jul 30 17:44:59.703739 np0000032037 memory_tracker.sh[92964]:      72430    0.9          117056          1   00:00:01        2 unix_stream_data_wait     /opt/stack/data/venv/bin/python3.12 /usr/local/bin/privsep-helper --config-file /etc/neutron/plugins/ml2/ovn_agent.ini --privsep_context neutron.privileged.namespace_cmd --privsep_sock_path /tmp/tmpk5tgrngu/privsep.sock
Jul 30 17:44:59.703739 np0000032037 memory_tracker.sh[92964]:      79528    0.9          116684      78244   00:00:00        1 ep_poll                   /opt/stack/data/venv/bin/python3.12 /opt/stack/data/venv/bin/nova-conductor --config-file /etc/nova/nova.conf
Jul 30 17:44:59.703864 np0000032037 memory_tracker.sh[92964]:      74999    0.9          116600          1   00:00:00        2 unix_stream_data_wait     /opt/stack/data/venv/bin/python3.12 /usr/local/bin/privsep-helper --config-file /etc/neutron/plugins/ml2/ovn_agent.ini --privsep_context neutron.privileged.default --privsep_sock_path /tmp/tmpqblgxppl/privsep.sock
Jul 30 17:44:59.703864 np0000032037 memory_tracker.sh[92964]:      77349    0.9          116104      76263   00:00:00        1 ep_poll                   /opt/stack/data/venv/bin/python3.12 /opt/stack/data/venv/bin/nova-scheduler --config-file /etc/nova/nova.conf
Jul 30 17:44:59.703864 np0000032037 memory_tracker.sh[92964]:      91307    0.9          112304          1   00:00:01        1 ep_poll                   /opt/stack/data/venv/bin/python3.12 /opt/stack/data/venv/bin/manila-data --config-file /etc/manila/manila.conf
Jul 30 17:44:59.703864 np0000032037 memory_tracker.sh[92964]:      42757    0.8          109008          1   00:00:09        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Jul 30 17:44:59.703864 np0000032037 memory_tracker.sh[92964]:      74153    0.8          106256      74151   00:00:01        2 rt_mutex_schedule         placementuWSGI worker 2
Jul 30 17:44:59.703864 np0000032037 memory_tracker.sh[92964]:      74152    0.8          105252      74151   00:00:01        2 ep_poll                   placementuWSGI worker 1
Jul 30 17:44:59.703864 np0000032037 memory_tracker.sh[92964]:      92511    0.7           92120      92510   00:00:07        1 hrtimer_nanosleep         /opt/stack/tempest/.tox/tempest/bin/python -m stestr.subunit_runner.run discover -t ./ ./tempest/test_discover --load-list /tmp/tmpqx3vwae0
Jul 30 17:44:59.703864 np0000032037 memory_tracker.sh[92964]:      92509    0.7           86676      92508   00:00:05        1 hrtimer_nanosleep         /opt/stack/tempest/.tox/tempest/bin/python -m stestr.subunit_runner.run discover -t ./ ./tempest/test_discover --load-list /tmp/tmptt0owawc
Jul 30 17:44:59.703864 np0000032037 memory_tracker.sh[92964]:      92507    0.6           85212      92506   00:00:04        1 hrtimer_nanosleep         /opt/stack/tempest/.tox/tempest/bin/python -m stestr.subunit_runner.run discover -t ./ ./tempest/test_discover --load-list /tmp/tmptx3j4sww
Jul 30 17:44:59.703864 np0000032037 memory_tracker.sh[92964]:      92497    0.5           71804      92304   00:00:02        4 futex_wait_queue          /opt/stack/tempest/.tox/tempest/bin/python /opt/stack/tempest/.tox/tempest/bin/tempest run --regex (^manila_tempest_tests) --concurrency=4
Jul 30 17:44:59.704017 np0000032037 memory_tracker.sh[92964]:      11713    0.3           39948      11711   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 30 17:44:59.704017 np0000032037 memory_tracker.sh[92964]:      80824    0.2           31484          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Jul 30 17:44:59.704017 np0000032037 memory_tracker.sh[92964]:      92304    0.2           28568      92303   00:00:00        1 do_wait                   /opt/stack/data/venv/bin/python3.12 /usr/local/bin/tox -e all -- (^manila_tempest_tests) --concurrency=4
Jul 30 17:44:59.704017 np0000032037 memory_tracker.sh[92964]:        355    0.2           27008          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Jul 30 17:44:59.704017 np0000032037 memory_tracker.sh[92964]:      92303    0.2           26652      92302   00:00:00        2 do_wait                   /usr/bin/python3
Jul 30 17:44:59.704017 np0000032037 memory_tracker.sh[92964]:      41646    0.2           26240          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Jul 30 17:44:59.704017 np0000032037 memory_tracker.sh[92964]:      45280    0.2           25188          1   00:00:01       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000032037 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000032037=http://192.168.1.110:2380 --initial-advertise-peer-urls http://192.168.1.110:2380 --advertise-client-urls http://192.168.1.110:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://192.168.1.110:2379 --log-level=debug
Jul 30 17:44:59.704017 np0000032037 memory_tracker.sh[92964]:      46851    0.1           19456          1   00:00:01       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Jul 30 17:44:59.704017 np0000032037 memory_tracker.sh[92964]:      80697    0.1           19456          1   00:00:00        1 ep_poll                   glance-apiuWSGI master
Jul 30 17:44:59.704017 np0000032037 memory_tracker.sh[92964]:       1605    0.1           19356          1   00:01:36        2 inet_csk_accept           /usr/bin/python3
Jul 30 17:44:59.704017 np0000032037 memory_tracker.sh[92964]:      68916    0.1           19328          1   00:00:00        1 ep_poll                   nova-apiuWSGI master
Jul 30 17:44:59.704017 np0000032037 memory_tracker.sh[92964]:      71831    0.1           19328          1   00:00:00        1 ep_poll                   neutron-apiuWSGI master
Jul 30 17:44:59.704228 np0000032037 memory_tracker.sh[92964]:      76852    0.1           19328          1   00:00:00        1 ep_poll                   nova-api-metauWSGI master
Jul 30 17:44:59.704228 np0000032037 memory_tracker.sh[92964]:      46448    0.1           19200          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Jul 30 17:44:59.704228 np0000032037 memory_tracker.sh[92964]:      74151    0.1           19200          1   00:00:00        1 ep_poll                   placementuWSGI master
Jul 30 17:44:59.704228 np0000032037 memory_tracker.sh[92964]:      83775    0.1           19200          1   00:00:00        1 ep_poll                   manila-apiuWSGI master
Jul 30 17:44:59.704228 np0000032037 memory_tracker.sh[92964]:      92943    0.1           19200      79820   00:00:02       13 -                         qemu-img convert -t none -O raw -f qcow2 /opt/stack/data/nova/instances/_base/af6f39b8ac890965b15b14ea5eda848430b05f2c.part /opt/stack/data/nova/instances/_base/af6f39b8ac890965b15b14ea5eda848430b05f2c.converted
Jul 30 17:44:59.704228 np0000032037 memory_tracker.sh[92964]:      41709    0.1           18432          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Jul 30 17:44:59.704228 np0000032037 memory_tracker.sh[92964]:      84104    0.1           17356      84097   00:00:07       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 30 17:44:59.704228 np0000032037 memory_tracker.sh[92964]:      84103    0.1           16332      84097   00:00:01       34 pipe_read                 /usr/sbin/apache2 -k start
Jul 30 17:44:59.704228 np0000032037 memory_tracker.sh[92964]:      30643    0.1           15232          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Jul 30 17:44:59.704228 np0000032037 memory_tracker.sh[92964]:      36792    0.1           15232          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Jul 30 17:44:59.704228 np0000032037 memory_tracker.sh[92964]:      70370    0.1           15112          1   00:00:00        5 do_poll.constprop.0       ovn-controller unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --no-chdir --log-file=/var/log/ovn/ovn-controller.log --pidfile=/var/run/ovn/ovn-controller.pid --detach
Jul 30 17:44:59.704228 np0000032037 memory_tracker.sh[92964]:      32540    0.1           13908          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Jul 30 17:44:59.704228 np0000032037 memory_tracker.sh[92964]:          1    0.1           13864          0   00:00:18        1 ep_poll                   /sbin/init nofb
Jul 30 17:44:59.704228 np0000032037 memory_tracker.sh[92964]:      11711    0.1           12928          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Jul 30 17:44:59.704450 np0000032037 memory_tracker.sh[92964]:        406    0.1           12288          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Jul 30 17:44:59.704450 np0000032037 memory_tracker.sh[92964]:      70034    0.1           12288          1   00:00:01        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
Jul 30 17:44:59.704450 np0000032037 memory_tracker.sh[92964]:       1463    0.0           11392          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Jul 30 17:44:59.704450 np0000032037 memory_tracker.sh[92964]:      70033    0.0            9984          1   00:00:01        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-nb.log --remote=punix:/var/run/ovn/ovnnb_db.sock --pidfile=/var/run/ovn/ovnnb_db.pid --unixctl=/var/run/ovn/ovnnb_db.ctl --remote=db:OVN_Northbound,NB_Global,connections --private-key=db:OVN_Northbound,SSL,private_key --certificate=db:OVN_Northbound,SSL,certificate --ca-cert=db:OVN_Northbound,SSL,ca_cert --ssl-protocols=db:OVN_Northbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Northbound,SSL,ssl_ciphers /var/lib/ovn/ovnnb_db.db
Jul 30 17:44:59.704450 np0000032037 memory_tracker.sh[92964]:        837    0.0            9472          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-networkd
Jul 30 17:44:59.704450 np0000032037 memory_tracker.sh[92964]:      70107    0.0            9392          1   00:00:00        3 do_poll.constprop.0       ovn-northd -vconsole:emer -vsyslog:err -vfile:info --ovnnb-db=unix:/var/run/ovn/ovnnb_db.sock --ovnsb-db=unix:/var/run/ovn/ovnsb_db.sock --no-chdir --log-file=/var/log/ovn/ovn-northd.log --pidfile=/var/run/ovn/ovn-northd.pid --detach
Jul 30 17:44:59.704450 np0000032037 memory_tracker.sh[92964]:      84097    0.0            9380          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Jul 30 17:44:59.704658 np0000032037 memory_tracker.sh[92964]:        526    0.0            9088          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Jul 30 17:44:59.704658 np0000032037 memory_tracker.sh[92964]:        854    0.0            7936          1   00:00:00        1 do_poll.constprop.0       sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
Jul 30 17:44:59.704658 np0000032037 memory_tracker.sh[92964]:      30412    0.0            7936          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-machined
Jul 30 17:44:59.704658 np0000032037 memory_tracker.sh[92964]:        421    0.0            7808          1   00:00:00        2 ep_poll                   /usr/lib/systemd/systemd-timesyncd
Jul 30 17:44:59.704658 np0000032037 memory_tracker.sh[92964]:       1334    0.0            7808          1   00:00:00        4 do_poll.constprop.0       /usr/lib/polkit-1/polkitd --no-debug
Jul 30 17:44:59.704658 np0000032037 memory_tracker.sh[92964]:      69422    0.0            7728          1   00:00:00        1 do_poll.constprop.0       ovsdb-server /etc/openvswitch/conf.db -vconsole:emer -vsyslog:err -vfile:info --remote=punix:/var/run/openvswitch/db.sock --private-key=db:Open_vSwitch,SSL,private_key --certificate=db:Open_vSwitch,SSL,certificate --bootstrap-ca-cert=db:Open_vSwitch,SSL,ca_cert --no-chdir --log-file=/var/log/openvswitch/ovsdb-server.log --pidfile=/var/run/openvswitch/ovsdb-server.pid --detach
Jul 30 17:44:59.704658 np0000032037 memory_tracker.sh[92964]:        376    0.0            7552          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-udevd
Jul 30 17:44:59.704658 np0000032037 memory_tracker.sh[92964]:      76855    0.0            7424      76852   00:00:00        1 ep_poll                   nova-api-metauWSGI http 1
Jul 30 17:44:59.704658 np0000032037 memory_tracker.sh[92964]:       2673    0.0            7188       2663   00:00:00        1 do_poll.constprop.0       sshd: zuul@notty
Jul 30 17:44:59.704658 np0000032037 memory_tracker.sh[92964]:      92301    0.0            6784      92300   00:00:00        1 do_poll.constprop.0       sudo -H -S -n -u tempest /bin/sh -c echo BECOME-SUCCESS-balsahuzvjlgllwcfjtaofoyoocxqrrg ; /usr/bin/python3
Jul 30 17:44:59.704658 np0000032037 memory_tracker.sh[92964]:      41650    0.0            6764      41646   00:00:00        1 ep_poll                   smbd: notifyd .
Jul 30 17:44:59.704658 np0000032037 memory_tracker.sh[92964]:      15708    0.0            6656          1   00:00:02        4 do_select                 /usr/sbin/rsyslogd -n -iNONE
Jul 30 17:44:59.704658 np0000032037 memory_tracker.sh[92964]:      41651    0.0            6124      41646   00:00:00        1 ep_poll                   smbd: cleanupd
Jul 30 17:44:59.704839 np0000032037 memory_tracker.sh[92964]:        516    0.0            5376          1   00:00:02        1 ep_poll                   @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
Jul 30 17:44:59.704839 np0000032037 memory_tracker.sh[92964]:        399    0.0            5056          1   00:00:00        1 do_select                 /usr/sbin/haveged --Foreground --verbose=1
Jul 30 17:44:59.704839 np0000032037 memory_tracker.sh[92964]:      92963    0.0            4224      44158   00:00:00        1 -                         ps --sort=-pmem -eo pid:10,pmem:6,rss:15,ppid:10,cputime:10,nlwp:8,wchan:25,args:100
Jul 30 17:44:59.704839 np0000032037 memory_tracker.sh[92964]:      40562    0.0            4096          1   00:00:00        1 do_poll.constprop.0       /sbin/rpcbind -f -w
Jul 30 17:44:59.704839 np0000032037 memory_tracker.sh[92964]:      41161    0.0            3712          1   00:00:00        1 ep_poll                   /usr/sbin/fsidd
Jul 30 17:44:59.704839 np0000032037 memory_tracker.sh[92964]:      44158    0.0            3456          1   00:00:00        1 do_wait                   /bin/bash /opt/stack/devstack/tools/memory_tracker.sh
Jul 30 17:44:59.704839 np0000032037 memory_tracker.sh[92964]:      44647    0.0            3456          1   00:00:00        1 do_wait                   /bin/bash /opt/stack/devstack/tools/file_tracker.sh
Jul 30 17:44:59.704839 np0000032037 memory_tracker.sh[92964]:      18205    0.0            3328          1   00:00:00        1 do_select                 /usr/bin/epmd -systemd
Jul 30 17:44:59.704839 np0000032037 memory_tracker.sh[92964]:       1464    0.0            3260       1463   00:00:00        1 do_sigtimedwait.isra.0    (sd-pam)
Jul 30 17:44:59.704839 np0000032037 memory_tracker.sh[92964]:        694    0.0            3200          1   00:00:00        1 do_select                 dhclient -1 -4 -v -i -pf /run/dhclient.enp3s0.pid -lf /var/lib/dhcp/dhclient.enp3s0.leases -I -df /var/lib/dhcp/dhclient6.enp3s0.leases enp3s0
Jul 30 17:44:59.704839 np0000032037 memory_tracker.sh[92964]:        695    0.0            3200          1   00:00:00        1 do_select                 dhclient -1 -4 -v -i -pf /run/dhclient.enp4s0.pid -lf /var/lib/dhcp/dhclient.enp4s0.leases -I -df /var/lib/dhcp/dhclient6.enp4s0.leases enp4s0
Jul 30 17:44:59.704839 np0000032037 memory_tracker.sh[92964]:        985    0.0            3200          1   00:00:00        1 do_select                 dhclient
Jul 30 17:44:59.705009 np0000032037 memory_tracker.sh[92964]:      69706    0.0            3140          1   00:00:00        1 do_poll.constprop.0       ovn-controller-vtep -vconsole:emer -vsyslog:err -vfile:info --vtep-db=/var/run/openvswitch/db.sock --ovnsb-db=/var/run/ovn/ovnsb_db.sock --no-chdir --log-file=/var/log/ovn/ovn-controller-vtep.log --pidfile=/var/run/ovn/ovn-controller-vtep.pid --detach
Jul 30 17:44:59.705009 np0000032037 memory_tracker.sh[92964]:      41178    0.0            2944          1   00:00:00        1 ep_poll                   /usr/sbin/nfsdcld
Jul 30 17:44:59.705009 np0000032037 memory_tracker.sh[92964]:       5570    0.0            2896          1   00:00:00        1 do_wait                   /bin/bash /usr/sbin/ksmtuned
Jul 30 17:44:59.705009 np0000032037 memory_tracker.sh[92964]:       1000    0.0            2688          1   00:00:00        1 hrtimer_nanosleep         /usr/sbin/cron -f -P
Jul 30 17:44:59.705009 np0000032037 memory_tracker.sh[92964]:      41169    0.0            2436          1   00:00:00        1 ep_poll                   /usr/sbin/rpc.idmapd
Jul 30 17:44:59.705009 np0000032037 memory_tracker.sh[92964]:       1008    0.0            2432          1   00:00:00        1 hrtimer_nanosleep         /usr/sbin/atd -f
Jul 30 17:44:59.705009 np0000032037 memory_tracker.sh[92964]:      30527    0.0            2220          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
Jul 30 17:44:59.705009 np0000032037 memory_tracker.sh[92964]:       1018    0.0            2176          1   00:00:00        1 do_select                 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 - vt220
Jul 30 17:44:59.705009 np0000032037 memory_tracker.sh[92964]:      92964    0.0            2176      44158   00:00:00        1 pipe_read                 grep -v ]$
Jul 30 17:44:59.705009 np0000032037 memory_tracker.sh[92964]:      41171    0.0            2056          1   00:00:00        1 do_select                 /usr/sbin/rpc.statd
Jul 30 17:44:59.705009 np0000032037 memory_tracker.sh[92964]:       1014    0.0            2048          1   00:00:00        1 do_select                 /sbin/agetty -o -p -- \u --noclear - linux
Jul 30 17:44:59.705009 np0000032037 memory_tracker.sh[92964]:      92863    0.0            1920       5570   00:00:00        1 hrtimer_nanosleep         sleep 60
Jul 30 17:44:59.705009 np0000032037 memory_tracker.sh[92964]:      32539    0.0            1868          1   00:00:00        1 hrtimer_nanosleep         /usr/sbin/iscsid
Jul 30 17:44:59.705009 np0000032037 memory_tracker.sh[92964]:      18406    0.0            1792      18330   00:00:00        1 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/inet_gethost 4
Jul 30 17:44:59.705221 np0000032037 memory_tracker.sh[92964]:      92882    0.0            1792      44647   00:00:00        1 hrtimer_nanosleep         sleep 20
Jul 30 17:44:59.705221 np0000032037 memory_tracker.sh[92964]:      41180    0.0            1740          1   00:00:00        1 do_select                 /usr/sbin/rpc.mountd
Jul 30 17:44:59.705221 np0000032037 memory_tracker.sh[92964]:      18330    0.0            1664      18320   00:00:00        1 do_select                 erl_child_setup 65536
Jul 30 17:44:59.705221 np0000032037 memory_tracker.sh[92964]:      18410    0.0            1664      18330   00:00:00        1 pipe_read                 /bin/sh -s rabbit_disk_monitor
Jul 30 17:44:59.705221 np0000032037 memory_tracker.sh[92964]:      41166    0.0            1664          1   00:00:00        1 do_select                 /usr/sbin/blkmapd
Jul 30 17:44:59.705221 np0000032037 memory_tracker.sh[92964]:      92300    0.0            1664       2673   00:00:00        1 do_wait                   /bin/sh -c sudo -H -S -n  -u tempest /bin/sh -c 'echo BECOME-SUCCESS-balsahuzvjlgllwcfjtaofoyoocxqrrg ; /usr/bin/python3' && sleep 0
Jul 30 17:44:59.705221 np0000032037 memory_tracker.sh[92964]:      92302    0.0            1664      92301   00:00:00        1 do_wait                   /bin/sh -c echo BECOME-SUCCESS-balsahuzvjlgllwcfjtaofoyoocxqrrg ; /usr/bin/python3
Jul 30 17:44:59.705221 np0000032037 memory_tracker.sh[92964]:      92506    0.0            1664      92497   00:00:00        1 do_wait                   /bin/sh -c ${PYTHON} -m stestr.subunit_runner.run discover -t "./" "./tempest/test_discover"  --load-list /tmp/tmptx3j4sww
